algorithm,message_size,avg_time_us,std_time_us,median_time_us,min_time_us,max_time_us,throughput_mbps,estimated_cycles,cycles_per_byte,memory_delta_kb,tag_size,iterations
CMAC-AES-128,2,7.70419998007128,1.761318917337409,7.399998139590025,7.199996616691351,81.89999789465219,0.24757257570497967,15408.399960142558,7704.199980071279,476.0,16,10000
HMAC-SHA256,2,5.457549990387633,1.389717346150904,5.299996701069176,5.199995939619839,76.60000119358301,0.349488073617632,10915.099980775267,5457.549990387633,300.0,32,10000
Poly1305,2,11.513989986269735,8.35530959140391,10.30000566970557,10.099989594891667,381.799996830523,0.16565488028797884,23027.97997253947,11513.989986269735,232.0,16,10000
GMAC,2,6.163780056522228,3.889210370157005,5.599998985417187,5.399997462518513,305.6000132346526,0.3094446289974659,12327.560113044456,6163.780056522228,4.0,16,10000
KMAC256,2,30.495779908960685,4.397501464873077,29.89999484270811,29.19998951256275,171.50001076515764,0.06254467465683856,60991.55981792137,30495.779908960685,12.0,8,10000
SipHash-2-4,2,2.1221300441538915,0.5253597262821802,2.1000014385208488,1.9999861251562834,43.89999958220869,0.8987897033298794,4244.260088307784,2122.130044153892,8.0,8,10000
CMAC-AES-128,4,7.925840081588831,4.762576864546511,7.499998901039362,7.199996616691351,337.0999911567196,0.4812987931066479,15851.680163177662,3962.9200407944154,8.0,16,10000
HMAC-SHA256,4,5.680620011116844,18.035967562467246,5.300011252984405,5.199995939619839,1807.4000108754262,0.6715283293302007,11361.240022233687,2840.310005558422,8.0,32,10000
Poly1305,4,10.55161002150271,5.095967125010219,10.299991117790341,10.099989594891667,471.5000104624778,0.36152750697298125,21103.22004300542,5275.805010751355,4.0,16,10000
GMAC,4,5.967680044705048,2.741153197108782,5.699999746866524,5.399997462518513,221.19999630376697,0.6392261711499885,11935.360089410096,2983.840022352524,0.0,16,10000
KMAC256,4,29.69836988922907,1.565010859074483,29.600007110275328,28.90000178012997,104.49999535921961,0.1284480353586176,59396.73977845814,14849.184944614535,0.0,8,10000
SipHash-2-4,4,2.3144800143199973,1.565225080772916,2.1000014385208488,1.9999861251562834,85.39999544154853,1.6481876024087303,4628.960028639995,1157.2400071599986,0.0,8,10000
CMAC-AES-128,8,7.622879908012692,2.847824733687794,7.399998139590025,7.199996616691351,209.00000527035445,1.000854614439152,15245.759816025384,1905.719977003173,0.0,16,10000
HMAC-SHA256,8,5.638630031899083,17.402507673767843,5.199995939619839,4.999994416721165,1739.700004691258,1.3530581875541903,11277.260063798165,1409.6575079747706,8.0,32,10000
Poly1305,8,11.60564000310842,14.360540242935574,10.399991879239678,10.099989594891667,1280.9000036213547,0.6573867989362556,23211.28000621684,2901.410000777105,0.0,16,10000
GMAC,8,6.200699972396251,14.662968804417893,5.699999746866524,5.399997462518513,1437.300001271069,1.2304085934191125,12401.399944792502,1550.1749930990627,0.0,16,10000
KMAC256,8,29.920860096171964,4.441246584147682,29.5999925583601,28.89998722821474,159.80000898707658,0.2549858027719629,59841.72019234393,7480.215024042991,0.0,8,10000
SipHash-2-4,8,2.44210000091698,2.5872647568421767,2.2000021999701858,1.9999861251562834,145.3000004403293,3.124112251089329,4884.200001833961,610.5250002292452,4.0,8,10000
CMAC-AES-128,16,7.6044499830459245,1.7052149677990562,7.399998139590025,7.199996616691351,118.70000162161887,2.00656051345191,15208.899966091849,950.5562478807406,0.0,16,10000
HMAC-SHA256,16,5.806010033120401,3.819731910132809,5.299996701069176,5.099995178170502,201.3000048464164,2.628102427563196,11612.020066240802,725.7512541400502,0.0,32,10000
Poly1305,16,11.152989968832117,13.58979251257296,10.399991879239678,10.099989594891667,1303.6999880569056,1.3681343841554465,22305.979937664233,1394.1237461040146,0.0,16,10000
GMAC,16,6.011650031723548,18.40626563044351,5.699999746866524,5.300011252984405,1839.2000056337565,2.5382031525420126,12023.300063447095,751.4562539654435,0.0,16,10000
KMAC256,16,30.747529928339645,15.85677144942273,30.29999788850546,29.600007110275328,1499.6000099927187,0.496260645914069,61495.05985667929,3843.4412410424557,0.0,8,10000
SipHash-2-4,16,2.3564599963719957,1.5129353286379412,2.1000014385208488,1.9999861251562834,111.60000576637685,6.475301548081624,4712.919992743991,294.55749954649946,0.0,8,10000
