algorithm,message_size,avg_time_us,std_time_us,median_time_us,min_time_us,max_time_us,throughput_mbps,estimated_cycles,cycles_per_byte,memory_delta_kb,tag_size,iterations
CMAC-AES-128,2,5.821189933340065,8.890482052632557,5.0000089686363935,4.599976819008589,429.3999809306115,0.3276561415542247,22120.521746692248,11060.260873346124,600.0,16,10000
HMAC-SHA256,2,3.5379701177589595,5.133838841979181,3.0999945010989904,2.9999937396496534,221.5999993495643,0.539108180489852,13444.286447484046,6722.143223742023,164.0,32,10000
Poly1305,2,6.0698301094817,5.942824822938818,5.500012775883079,5.200010491535068,281.80002118460834,0.3142342698905238,23065.35441603046,11532.67720801523,88.0,16,10000
GMAC,2,3.271789985592477,3.011288147485287,3.00002284348011,2.7999922167509794,165.40000797249377,0.5829679292410649,12432.801945251413,6216.400972625706,0.0,16,10000
KMAC256,2,18.206729969824664,10.585603786218078,16.50000922381878,15.8999755512923,457.09998812526464,0.10476063719150487,69185.57388533372,34592.78694266686,4.0,8,10000
SipHash-2-4,2,1.4475299220066518,5.1607199044171,1.2999807950109243,1.1999800335615873,439.4999996293336,1.317657482457026,5500.613703625277,2750.3068518126383,0.0,8,10000
CMAC-AES-128,4,5.9287999727530405,14.931737350225244,5.1000097300857306,4.499976057559252,1130.200020270422,0.6434181087498629,22529.439896461554,5632.3599741153885,0.0,16,10000
HMAC-SHA256,4,3.48239007871598,7.2364552231199575,3.0999945010989904,2.9999937396496534,625.9999936446548,1.0954250326349275,13233.082299120724,3308.270574780181,0.0,32,10000
Poly1305,4,6.127860047854483,5.325394792532447,5.500012775883079,5.200010491535068,187.60000239126384,0.6225170346311386,23285.868181847036,5821.467045461759,0.0,16,10000
GMAC,4,3.1802299461560324,2.952574927120514,2.9999937396496534,2.7999922167509794,158.7000151630491,1.1995035988626712,12084.873795392923,3021.2184488482308,0.0,16,10000
KMAC256,4,17.69496004562825,8.650758342400666,16.400008462369442,15.80000389367342,606.999994488433,0.21558100474872033,67240.84817338733,16810.212043346834,0.0,8,10000
SipHash-2-4,4,1.3237899722298607,1.3062469400800185,1.2999807950109243,1.1999800335615873,82.89999095723033,2.881648407714802,5030.401894473472,1257.600473618368,0.0,8,10000
CMAC-AES-128,8,5.416790139861405,4.351405659438768,4.8000074457377195,4.499976057559252,122.80000373721123,1.408471499589092,20583.80253147334,2572.9753164341673,0.0,16,10000
HMAC-SHA256,8,3.45134005183354,6.7965852534019655,3.0999945010989904,2.8999929782003164,487.10001283325255,2.21056007714941,13115.092196967453,1639.3865246209316,0.0,32,10000
Poly1305,8,5.940059942076914,3.6739157736010006,5.500012775883079,5.199981387704611,125.79999747686088,1.2843968925644238,22572.227779892273,2821.528472486534,0.0,16,10000
GMAC,8,3.2873899617698044,4.01479821360245,2.9999937396496534,2.7999922167509794,173.39998157694936,2.3208060558603845,12492.081854725257,1561.510231840657,0.0,16,10000
KMAC256,8,18.117679993156344,8.91351371783473,16.600009985268116,15.8999755512923,413.8999793212861,0.42110217942539435,68847.1839739941,8605.897996749263,4.0,8,10000
SipHash-2-4,8,1.3563400571001694,1.5094237363022234,1.2999807950109243,1.1999800335615873,85.89998469687998,5.624986515226505,5154.0922169806445,644.2615271225806,0.0,8,10000
CMAC-AES-128,16,5.444069960503839,4.918736167710244,4.8000074457377195,4.499976057559252,247.39999207668006,2.8028275119902806,20687.465849914588,1292.9666156196618,0.0,16,10000
HMAC-SHA256,16,3.359530010493472,4.93092157299299,3.0999945010989904,2.8999929782003164,403.0000127386302,4.54194158553109,12766.214039875193,797.8883774921995,4.0,32,10000
Poly1305,16,5.852949933614582,4.4914009738994505,5.400012014433742,5.199981387704611,192.19997921027243,2.607025386440764,22241.20974773541,1390.0756092334632,0.0,16,10000
GMAC,16,3.282809886150062,4.767517811384314,2.9999937396496534,2.7999922167509794,266.8000233825296,4.648087946510619,12474.677567370236,779.6673479606397,0.0,16,10000
KMAC256,16,18.20331000490114,9.938572508043977,16.700010746717453,16.000005416572094,422.0000118948519,0.8382425536010569,69172.57801862434,4323.286126164021,0.0,8,10000
SipHash-2-4,16,1.3382199394982308,2.069879613001807,1.300009898841381,1.1999800335615873,151.99999324977398,11.402302874235549,5085.235770093278,317.8272356308299,0.0,8,10000
