algorithm,message_size,avg_time_us,std_time_us,median_time_us,min_time_us,max_time_us,throughput_mbps,estimated_cycles,cycles_per_byte,memory_delta_kb,tag_size,iterations
CMAC-AES-128,2,42.426226998941274,2.5661050964024845,41.71899945504265,40.781999814498704,120.8869998663431,0.044956829011924555,59396.717798517784,29698.358899258892,404.0,16,10000
HMAC-SHA256,2,24.415200000203185,3.722130451255411,23.802000214345753,23.22899945284007,195.1060003193561,0.07812136016893685,34181.28000028446,17090.64000014223,8.0,32,10000
Poly1305,2,30.068818398922303,3.530327561470582,29.37499994004611,28.698000278382096,163.0750002732384,0.06343277635681425,42096.345758491225,21048.172879245612,36.0,16,10000
GMAC,2,21.244539107374294,3.284572955566712,20.573000256263185,19.948000044678338,149.68899995437823,0.08978065483898547,29742.35475032401,14871.177375162006,0.0,16,10000
KMAC256,2,137.09310040021592,9.114461193961116,134.94999984686729,132.86600005812943,788.2370000515948,0.013912798144066891,191930.34056030228,95965.17028015114,0.0,8,10000
SipHash-2-4,2,11.618310400444898,2.8112480657526073,11.302000530122314,10.988999747496564,162.3979997020797,0.16416747074854035,16265.634560622859,8132.817280311429,0.0,8,10000
CMAC-AES-128,4,42.565238004863204,4.90448308743511,41.56300019531045,40.52100030094152,209.1169999403064,0.08962001493305781,59591.333206808486,14897.833301702121,0.0,16,10000
HMAC-SHA256,4,24.211827598719537,2.830761726563118,23.69800040469272,23.177000002760906,115.83400009840261,0.15755511433704175,33896.55863820735,8474.139659551838,0.0,32,10000
Poly1305,4,30.089407898231002,2.600944653361636,29.480000193871092,28.90599989768816,119.58499999309424,0.12677874149358956,42125.1710575234,10531.29276438085,0.0,16,10000
GMAC,4,21.08154210527573,2.467405592114965,20.573000256263185,19.89599968510447,113.12700007692911,0.18094963103625888,29514.15894738602,7378.539736846505,0.0,16,10000
KMAC256,4,137.62008640469503,10.78551371416993,135.26200018532109,132.96999986778246,804.2780000323546,0.027719044256426642,192668.12096657304,48167.03024164326,0.0,8,10000
SipHash-2-4,4,11.606630906135251,2.673488997013315,11.302000530122314,10.989999282173812,123.38699980318779,0.32866533763975864,16249.283268589352,4062.320817147338,0.0,8,10000
CMAC-AES-128,8,42.71750490133854,7.941994300699086,41.667000004963484,40.83299972990062,531.2029998094658,0.17860112731001138,59804.50686187396,7475.563357734245,0.0,16,10000
HMAC-SHA256,8,24.267284796678723,3.034268498201812,23.69899993936997,23.12499964318704,147.3969996368396,0.31439011801988564,33974.19871535021,4246.7748394187765,0.0,32,10000
Poly1305,8,30.199620205439714,3.6491134116739308,29.480000193871092,28.749999728461262,149.16799955244642,0.25263213508479004,42279.46828761561,5284.933535951951,0.0,16,10000
GMAC,8,21.273705498060735,3.7181641593158816,20.573000256263185,19.948000044678338,179.27299995790236,0.3586302598738842,29783.18769728503,3722.8984621606287,0.0,16,10000
KMAC256,8,137.1060340981785,9.543774333590555,134.89699995261617,132.65699999465141,588.2360001123743,0.055645942802099904,191948.4477374499,23993.555967181237,0.0,8,10000
SipHash-2-4,8,11.676477097535098,2.5548268091230226,11.353999980201479,10.988999747496564,96.66799996921327,0.6533986636140933,16347.067936549136,2043.383492068642,0.0,8,10000
CMAC-AES-128,16,42.69119410409985,6.123516093201246,41.61500055488432,40.52099939144682,254.3259997764835,0.35742240016272164,59767.67174573978,3735.4794841087364,0.0,16,10000
HMAC-SHA256,16,24.311205703816086,3.219907100223965,23.749999854771886,23.12500055268174,155.36599948973162,0.6276442743481396,34035.68798534253,2127.230499083908,0.0,32,10000
Poly1305,16,30.04820270170967,3.785148304065144,29.322999580472242,28.594000468729064,138.54300050297752,0.5078103743500043,42067.48378239354,2629.217736399596,0.0,16,10000
GMAC,16,21.143143404151488,3.6397264393861644,20.520999896689318,19.948000044678338,210.05400049034506,0.7216897114505648,29600.40076581208,1850.025047863255,0.0,16,10000
KMAC256,16,136.7676358036988,9.160397139496311,134.5330001640832,132.50100073491922,563.3390001094085,0.11156725034276958,191474.6901251783,11967.168132823645,0.0,8,10000
SipHash-2-4,16,11.640415396686876,3.0871399264412074,11.301999620627612,10.936999387922697,134.63699997373624,1.3108457509895217,16296.581555361625,1018.5363472101016,0.0,8,10000
